"empleo_fl","sexo","tipo_edu","region","egreso","hab_dig","hab_ciud","hab_num","hab_verb"
1,0,0,"Metropolitana",2021,779,817,0,0
1,1,0,"Metropolitana",2023,558,558,576,611
0,1,0,"Los Rios",2023,799,830,575,510
0,0,0,"Metropolitana",2022,814,819,0,0
0,0,1,"Los Rios",2023,766,846,600,641
1,0,0,"Araucania",2023,569,569,563,582
1,1,0,"Metropolitana",2023,879,883,897,837
0,1,1,"Los Lagos",2023,658,670,436,524
1,1,0,"Metropolitana",2022,599,600,505,500
0,0,0,"Valparaiso",2023,572,573,0,0
0,1,0,"Valparaiso",2023,661,665,0,0
1,1,0,"Biobio",2023,757,757,785,620
0,1,0,"Araucania",2021,694,744,0,0
0,0,1,"Metropolitana",2023,535,548,0,0
1,1,0,"Valparaiso",2023,828,842,642,582
0,0,0,"Valparaiso",2023,650,686,346,519
1,0,0,"Metropolitana",2023,893,904,990,699
1,1,1,"Araucania",2023,560,560,549,484
0,1,0,"Antofagasta",2023,785,788,642,651
0,1,0,"Biobio",2023,537,537,489,489
1,0,0,"Metropolitana",2023,865,868,616,759
1,0,0,"Valparaiso",2022,722,729,593,500
1,1,0,"Los Lagos",2017,650,724,535,506
0,1,0,"Los Rios",2023,779,804,549,591
0,0,0,"Valparaiso",2019,558,558,600,524
1,1,0,"OHiggins",2017,727,780,811,679
0,0,1,"Nuble",2023,623,623,450,489
1,0,0,"OHiggins",2022,628,658,669,600
0,1,0,"Nuble",2023,951,968,688,770
1,1,0,"Metropolitana",2022,823,839,696,686
0,1,0,"Maule",2023,914,964,642,656
0,0,0,"Atacama",2023,599,599,593,641
0,1,0,"Valparaiso",2023,785,801,523,573
1,0,0,"Coquimbo",2023,657,657,696,641
1,0,0,"Metropolitana",2023,856,1000,696,669
0,1,0,"Biobio",2023,680,680,498,409
0,1,1,"Araucania",2023,609,609,0,0
0,1,0,"Metropolitana",2023,526,526,535,540
0,1,0,"Metropolitana",2023,640,686,0,0
0,1,1,"Tarapaca",2023,497,497,465,367
1,1,0,"Metropolitana",2023,727,727,827,686
1,0,0,"Biobio",2023,922,965,844,815
1,1,0,"OHiggins",2022,722,722,465,584
0,1,0,"Los Lagos",2023,685,691,465,378
1,0,0,"Metropolitana",2023,870,888,897,754
1,1,0,"Metropolitana",2022,650,650,465,676
1,0,0,"Metropolitana",2023,879,891,917,833
0,1,1,"Metropolitana",2023,630,637,549,540
0,0,1,"Metropolitana",2023,443,443,513,549
